month,financial_year,closed_loop,closed_loop_pct,qr_tickets,qr_pct,ncmc,ncmc_pct,total
Apr,2023-24,4377813,65.15,2339724,34.82,1973,0.03,6719510
May,2023-24,4617409,63.26,2676546,36.67,5138,0.07,7299093
Jun,2023-24,4873031,65.90,2515727,34.02,5938,0.08,7394696
Jul,2023-24,5189442,62.87,2910875,35.26,154244,1.87,8254561
Aug,2023-24,5089362,59.25,3105583,36.15,395267,4.60,8590212
Sep,2023-24,4639304,54.99,3254175,38.57,543703,6.44,8437182
Oct,2023-24,4477119,52.36,3420155,40.00,653161,7.64,8550435
Nov,2023-24,4059639,50.73,3233710,40.41,708351,8.85,8001700
Dec,2023-24,3712884,45.71,3711580,45.69,698817,8.60,8123281
Jan,2023-24,3817160,45.09,3746808,44.26,902342,10.66,8466310
Feb,2023-24,3932344,45.63,3505644,40.68,1180126,13.69,8618114
Mar,2023-24,3824407,44.05,3462083,39.87,1395969,16.08,8682459
Apr,2024-25,3389863,41.91,3334498,41.23,1363351,16.86,8087712
May,2024-25,3268680,38.81,3697776,43.91,1455164,17.28,8421620
Jun,2024-25,3167520,37.56,3705316,43.93,1561001,18.51,8433837
Jul,2024-25,3566434,37.40,3972106,41.66,1996479,20.94,9535019
Aug,2024-25,3364866,35.22,4106716,42.99,2081098,21.79,9552680
Sep,2024-25,3113865,33.56,4073640,43.91,2090678,22.53,9278183
Oct,2024-25,2897855,32.11,4075666,45.16,2050699,22.72,9024220
Nov,2024-25,2756837,32.97,3562463,42.61,2042192,24.42,8361492
Dec,2024-25,2760660,31.59,3774277,43.19,2203456,25.22,8738393
Jan,2024-25,2388008,27.45,3780386,43.46,2530965,29.09,8699359
Feb,2024-25,1487132,17.16,3756385,43.35,3422286,39.49,8665803
Mar,2024-25,991621,10.77,3965992,43.06,4252456,46.17,9210069
Apr,2025-26,617424,7.05,3911883,44.66,4230281,48.29,8759588
May,2025-26,587872,6.60,4233865,47.52,4087992,45.88,8909729
Jun,2025-26,610579,6.62,4205806,45.62,4403578,47.76,9219963
Jul,2025-26,652808,6.24,4651897,44.44,5164027,49.33,10468732
Aug,2025-26,225972,2.28,4798432,48.49,4871826,49.23,9896230
Sep,2025-26,115761,1.14,4834104,47.64,5196904,51.22,10146769
Oct,2025-26,77241,0.83,4491334,48.15,4759171,51.02,9327746
Nov,2025-26,60325,0.65,4377946,47.14,4848485,52.21,9286756
Dec,2025-26,51828,0.55,4545701,48.02,4868978,51.43,9466507
Jan,2025-26,44660,0.48,4623635,49.60,4652834,49.92,9321129
Feb,2025-26,38205,0.40,4668552,48.54,4911328,51.06,9618085
